brand,name,name_en,temp,size,category,is_coffee,price
매머드커피,레몬토닉 콜드브루,Lemon Tonic Cold Brew,ICE,ICE(20oz),콜드브루,True,
매머드커피,코코넛 크림 콜드브루 라떼,Coconut Cream Cold Brew Latte,ICE,ICE(20oz),콜드브루,True,
매머드커피,디카페인 콜드브루,Decaf Cold Brew,HOT/ICE,HOT(16oz)/ICE(20oz),콜드브루,True,
매머드커피,디카페인 콜드브루 라떼,Decaf Cold Brew Latte,ICE,ICE(20oz),콜드브루,True,
매머드커피,디카페인 돌체 콜드브루 라떼,Decaf Dolce Cold Brew Latte,ICE,ICE(20oz),콜드브루,True,
매머드커피,디카페인 아몬드 크림 콜드브루,Decaf Almond Cream Cold Brew,ICE,ICE(20oz),콜드브루,True,
매머드커피,디카페인 레몬토닉 콜드브루,Decaf Lemon Tonic Cold Brew,ICE,ICE(20oz),콜드브루,True,
매머드커피,디카페인 코코넛 크림 콜드브루 라떼,Decaf Coconut Cream Cold Brew Latte,ICE,ICE(20oz),콜드브루,True,
매머드커피,매머드 콜드브루 원액,Mammoth Cold Brew Coffee,,,콜드브루,True,
매머드커피,매머드 콜드브루 디카페인 원액,Mammoth Cold Brew Coffee (Decaf),,,콜드브루,True,
매머드커피,그린티 라떼,Green Tea Latte,HOT/ICE,HOT(16oz)/ICE(20oz),논커피,False,
매머드커피,초코 라떼,Chocolate Latte,HOT/ICE,HOT(16oz)/ICE(20oz),논커피,False,
매머드커피,딸기 크림 라떼,Strawberry Cream Latte,ICE,ICE(20oz),논커피,False,
매머드커피,차이티 라떼,Chai Tea Latte,HOT/ICE,HOT(16oz)/ICE(20oz),논커피,False,
매머드커피,콩가루 라떼,Grain Latte,HOT/ICE,HOT(16oz)/ICE(20oz),논커피,False,
매머드커피,옥수수 라떼,Corn Latte,HOT/ICE,HOT(16oz)/ICE(20oz),논커피,False,
매머드커피,고구마 라떼,Sweet Potato Latte,HOT/ICE,HOT(16oz)/ICE(20oz),논커피,False,
매머드커피,메론바나 라떼,Melon Banana Latte,HOT/ICE,HOT(16oz)/ICE(20oz),논커피,False,
매머드커피,매머드 파워드링크,Mammoth Power Drink,ICE,ICE(20oz),티·에이드,False,
매머드커피,제로 체리콕 에이드,Zero Cherry Coke,ICE,ICE(20oz),티·에이드,False,
매머드커피,제로 복숭아 아이스티,Zero Peach Iced Tea,ICE,ICE(20oz),티·에이드,False,
매머드커피,리얼 레몬티,Real Lemon Tea,HOT/ICE,HOT(16oz)/ICE(20oz),티·에이드,False,
매머드커피,페퍼민트티,Peppermint Tea,HOT/ICE,HOT(16oz)/ICE(20oz),티·에이드,False,
매머드커피,캐모마일티,Camomile Tea,HOT/ICE,HOT(16oz)/ICE(20oz),티·에이드,False,
매머드커피,레몬&오렌지티,Lemon&Orange Tea,HOT/ICE,HOT(16oz)/ICE(20oz),티·에이드,False,
매머드커피,얼그레이티,Earl Grey Tea,HOT/ICE,HOT(16oz)/ICE(20oz),티·에이드,False,
매머드커피,페퍼민트 라임티,Peppermint Lime Tea,HOT/ICE,HOT(16oz)/ICE(20oz),티·에이드,False,
매머드커피,오렌지 아일랜드티,Orange Island Tea,HOT/ICE,HOT(16oz)/ICE(20oz),티·에이드,False,
매머드커피,우롱 밀크티,Oolong Milk Tea,HOT/ICE,HOT(16oz)/ICE(20oz),티·에이드,False,
매머드커피,달고나 밀크티,Dalgona Milk Tea,HOT/ICE,HOT(16oz)/ICE(20oz),티·에이드,False,
매머드커피,밀크티,Milk Tea,HOT,HOT(16oz),티·에이드,False,
매머드커피,블루레몬 티 / 에이드,Blue Lemon Tea / Ade,HOT/ICE,HOT(16oz)/ICE(20oz),티·에이드,False,
매머드커피,유자 티 / 에이드,Yuja Tea / Ade,HOT/ICE,HOT(16oz)/ICE(20oz),티·에이드,False,
매머드커피,오미자 크랜베리 티 / 에이드,Omija Cranberry  Tea / Ade,HOT/ICE,HOT(16oz)/ICE(20oz),티·에이드,False,
매머드커피,자몽 티 / 에이드,Grapefruit Tea/Ade,HOT/ICE,HOT(16oz)/ICE(20oz),티·에이드,False,
매머드커피,라임 레몬 깔라만시 티 / 에이드,Lime Lemon Calamansi Tea / Ade,HOT/ICE,HOT(16oz)/ICE(20oz),티·에이드,False,
매머드커피,오렌지 티 / 에이드,Orange Tea / Ade,HOT/ICE,HOT(16oz)/ICE(20oz),티·에이드,False,
매머드커피,라임 티 / 에이드,Lime Tea / Ade,HOT/ICE,HOT(16oz)/ICE(20oz),티·에이드,False,
매머드커피,제주 청귤 티 / 에이드,Jeju Green Tangerine Tea / Ade,HOT/ICE,HOT(16oz)/ICE(20oz),티·에이드,False,
매머드커피,제주 한라봉 티 / 에이드,Jeju Hallabong Tea / Ade,HOT/ICE,HOT(16oz)/ICE(20oz),티·에이드,False,
매머드커피,지리산 청매실티,Jirisan Asian Apricot Tea,HOT/ICE,HOT(16oz)/ICE(20oz),티·에이드,False,
매머드커피,청포도 에이드,Green Grape Ade,ICE,ICE(20oz),티·에이드,False,
매머드커피,인크레드불,Incredbull,ICE,ICE(20oz),티·에이드,False,
매머드커피,수박 주스,Watermelon Juice,ICE,ICE(20oz),티·에이드,False,
매머드커피,파인애플 주스,Pineapple Juice,ICE,ICE(20oz),티·에이드,False,
매머드커피,레몬 착즙주스,Cold Lemon Pressed juice,ICE,ICE(20oz),티·에이드,False,
매머드커피,자몽 착즙주스,Cold Grapefruit Pressed juice,ICE,ICE(20oz),티·에이드,False,
매머드커피,오렌지 착즙주스,Cold Orange Pressed juice,ICE,ICE(20oz),티·에이드,False,
매머드커피,라임 착즙주스,Cold Lime Pressed juice,ICE,ICE(20oz),티·에이드,False,
매머드커피,복숭아 아이스티,Peach Iced Tea,ICE,ICE(20oz),티·에이드,False,
매머드커피,코코넛 커피 스무디,Coconut Coffee Smoothie,ICE,ICE(20oz),프라페·블렌디드,False,
매머드커피,달고나 밀크 스무디,Dalgona Milk Smoothie,ICE,ICE(20oz),프라페·블렌디드,False,
매머드커피,딸기 스무디,Strawberry Smoothie,ICE,ICE(20oz),프라페·블렌디드,False,
매머드커피,복숭아 스무디,Peach Smoothie,ICE,ICE(20oz),프라페·블렌디드,False,
매머드커피,플레인 요거트 스무디,Plain Yogurt Smoothie,ICE,ICE(20oz),프라페·블렌디드,False,
매머드커피,블루베리 요거트 스무디,Blueberry Yogurt Smoothie,ICE,ICE(20oz),프라페·블렌디드,False,
매머드커피,딸기 요거트 스무디,Strawberry Yogurt,ICE,ICE(20oz),프라페·블렌디드,False,
매머드커피,복숭아 요거트 스무디,Peach Yogurt Smoothie,ICE,ICE(20oz),프라페·블렌디드,False,
매머드커피,솜사탕 쉐이크,Cotton Candy Shake,ICE,ICE(20oz),프라페·블렌디드,False,
매머드커피,쿠앤크 프라페,Cookie&Cream Frappe,ICE,ICE(20oz),프라페·블렌디드,False,
매머드커피,자바칩 프라페,Javachips Frappe,ICE,ICE(20oz),프라페·블렌디드,False,
매머드커피,그린티 프라페,Green Tea Frappe,ICE,ICE(20oz),프라페·블렌디드,False,
매머드커피,스트로베리 바닐라 프라페,Strawberry Vanilla Frappe,ICE,ICE(20oz),프라페·블렌디드,False,
매머드커피,피스타치오 프라페,Pistachio Frappe,ICE,ICE(20oz),프라페·블렌디드,False,
매머드커피,디카페인 코코넛 커피 스무디,Decaf Coconut Coffee Smoothie,ICE,ICE(20oz),프라페·블렌디드,False,
